CRASH_DATE,CRASH_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOC,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,COLLISION_ID,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,VEHICLE_TYPE_CODE_3
09/11/2021,2:39,AB,0.0,0.0,0.0,"(0,0)",WHITESTONE EXPRESSWAY,20 AVENUE,AB,2.0,0.0,0,0,0,0,2,0,Aggressive Driving/Road Rage,Unspecified,AB,4455765,Sedan,Sedan,AB
03/26/2022,11:45,AB,0.0,0.0,0.0,"(0,0)",QUEENSBORO BRIDGE UPPER,AB,AB,1.0,0.0,0,0,0,0,1,0,Pavement Slippery,AB,AB,4513547,Sedan,AB,AB
06/29/2022,6:55,AB,0.0,0.0,0.0,"(0,0)",THROGS NECK BRIDGE,AB,AB,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,AB,4541903,Sedan,Pick-up Truck,AB
09/11/2021,9:35,BROOKLYN,11208.0,40.667202,-73.8665,"(40.667202, -73.8665)",AB,AB,1211 LORING AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,AB,AB,4456314,Sedan,AB,AB
12/14/2021,8:13,BROOKLYN,11233.0,40.683304,-73.917274,"(40.683304, -73.917274)",SARATOGA AVENUE,DECATUR STREET,AB,0.0,0.0,0,0,0,0,0,0,AB,AB,AB,4486609,AB,AB,AB
04/14/2021,12:47,AB,0.0,0.0,0.0,"(0,0)",MAJOR DEEGAN EXPRESSWAY RAMP,AB,AB,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,AB,4407458,Dump,Sedan,AB
12/14/2021,17:05,AB,0.0,40.709183,-73.956825,"(40.709183, -73.956825)",BROOKLYN QUEENS EXPRESSWAY,AB,AB,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,AB,4486555,Sedan,Tractor Truck Diesel,AB
12/14/2021,8:17,BRONX,10475.0,40.86816,-73.83148,"(40.86816, -73.83148)",AB,AB,344 BAYCHESTER AVENUE,2.0,0.0,0,0,0,0,2,0,Unspecified,Unspecified,AB,4486660,Sedan,Sedan,AB
12/14/2021,21:10,BROOKLYN,11207.0,40.67172,-73.8971,"(40.67172, -73.8971)",AB,AB,2047 PITKIN AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,AB,4487074,Sedan,AB,AB
12/14/2021,14:58,MANHATTAN,10017.0,40.75144,-73.97397,"(40.75144, -73.97397)",3 AVENUE,EAST 43 STREET,AB,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,AB,4486519,Sedan,Station Wagon/Sport Utility Vehicle,AB
